ID;Comentario;Ratings
1;No estoy contenta con la calidad.;1
2;No importa cuántas veces cambie la batería, se agota en minutos.;1
3;"Dejó de funcionar al año. No vale la pena contactar al fabricante; me sugirieron que comprara uno nuevo sin intentar ninguna solución.";1
4;Como dicen muchas otras reseñas, el artículo se apaga solo casi de inmediato después de usarlo solo unas pocas veces.;1
5;La semana que lo compré ya estaba dañado. No reproduce música.;1
6;¡Ya roto a los 3 meses y el vendedor no tiene forma de contacto!;1
7;Lamentablemente no nos gustó. Mi hijo se irritaba más con él que calmarse...;2
8;Totalmente genial, no demasiado brillante, simplemente súper. De vez en cuando hace un pequeño ruido, pero es muy dulce. Fue el primer regalo de Navidad para nuestro bebé.;2
9;En realidad es una bonita caja de música. Sin embargo, el motor es tan ruidoso que hay que subir mucho la melodía para escucharla.;2
10;El motor es demasiado ruidoso y, lamentablemente, demasiado grande para el conjunto.;2
11;"Funciona muy bien, pero lo compré el 30 de noviembre y ya no funciona; es caro para solo 1 mes de uso, realmente decepcionado.";2
12;Le pongo solo 2 estrellas por el ruido del mecanismo, que es muy desagradable.;2
13;"Es bonito y nos encanta; lo malo es que la pila se acaba enseguida.";3
14;Muy bonito, pero ha dejado de funcionar con solo un mes de uso y no ha sido por las pilas...;3
15;Una caja de música achuchable y muy agradable al sonido. El único inconveniente: la caja de música se ilumina en la barriga, que es también donde se enciende y apaga. Mi hijo agarra la luz y ya se apaga.;3
16;Tiene un aspecto muy bonito y una música agradable, pero lamentablemente el motor es algo ruidoso y bastante molesto al quedarse dormido.;3
17;"Al principio todo funcionaba bien, pero en la tercera recarga las pilas ya estaban vacías; no lo habría esperado a ese precio. Una pena.";3
18;Con el tiempo el nivel de ruido del motor ha aumentado mucho e interfiere con el sueño.;3
19;"Superbonito, pero algo más duro de lo que esperaba, debido al mecanismo interno; no es tan suave y achuchable como quería mi hija.";4
20;Producto en perfecto estado. Para cambiar las pilas hay que abrir la parte trasera, lo que es un poco incómodo. Tacto suave.;4
21;Superbonito, aunque bastante caro. El sonido podría ser algo mejor, pero es muy dulce cuando la barriga se mueve y se ilumina.;4
22;En realidad es algo muy bonito. Funciona bien y tiene un efecto calmante. El ruido mecánico de la respiración es algo alto, pero sigue siendo perfectamente aceptable. ¡En general, un producto precioso!;4
23;"Una caja de música estupenda; el volumen se puede regular perfectamente, al igual que los demás sonidos. Lamentablemente, el pequeño motor se ralentiza con el tiempo.";4
24;Encontré este peluche muy interesante para mi nieto, pero al presionar la barriga se ilumina y respira solo unos pocos segundos.;4
25;El peluche es muy bonito, el movimiento de la respiración es muy realista y los sonidos también son realmente agradables. Muy recomendado.;5
26;"Funciona muy bien para dormir a mi bebé; lo relaja mucho y además tiene variedad de sonidos. Lo mejor es que se puede regular el volumen. Lo recomiendo.";5
27;Un regalo estupendo. Lo mejor es que también se puede lavar el peluche.;5
28;Nuestro hijo adora este juguete. Los distintos sonidos son especialmente bonitos y se pueden combinar con movimientos de respiración o luz. Ideal para nuestra rutina de sueño.;5
29;Todo es maravilloso. El motor de la respiración es algo ruidoso si tienes la música al mínimo volumen, pero por lo demás todo perfecto.;5
30;Estoy completamente satisfecha, y mi bebé también, que es lo más importante.;5
